"train/global_step","gpt2-large_aux-without_ln - _step","gpt2-large_aux-without_ln - _step__MIN","gpt2-large_aux-without_ln - _step__MAX","gpt2-large_aux-without_ln - main_loss","gpt2-large_aux-without_ln - main_loss__MIN","gpt2-large_aux-without_ln - main_loss__MAX"
"0","85.83333333333333","78","94","2.7207831343015036","2.598081111907959","2.815648078918457"
"1","183.125","177","190","2.759408175945282","2.6698732376098633","2.843395471572876"
"2","279","272","287","2.7292400002479553","2.65887188911438","2.800441026687622"
"3","381.6","377","385","2.764062690734863","2.7124507427215576","2.8330392837524414"
"4","476.3","470","482","2.6974026918411256","2.611436128616333","2.793170690536499"
"5","571.7777777777778","563","580","2.73974511358473","2.6712727546691895","2.802245616912842"
"6","668.8333333333334","660","677","2.7648852864901223","2.6461877822875977","2.901319742202759"
"7","764.6","757","773","2.7604300022125243","2.667224645614624","2.8920962810516357"
"8","863.4615384615385","855","871","2.7589714160332313","2.6175003051757812","2.8391709327697754"
"9","959.0769230769231","951","967","2.741616340783926","2.63678240776062","2.8639650344848633"
"10","1056.4285714285713","1050","1064","2.752202647072928","2.673863172531128","2.8639817237854004"
"11","1154","1146","1162","2.732826550801595","2.630876064300537","2.7992324829101562"
"12","1249.909090909091","1242","1257","2.7185757593675093","2.4454939365386963","2.845027208328247"
"13","1348.6666666666667","1341","1356","2.7527934180365667","2.644289493560791","2.8115947246551514"
"14","1444.6","1437","1448","2.689775323867798","2.638908863067627","2.741933584213257"
"15","1541.888888888889","1535","1548","2.7402591705322266","2.6228187084198","2.8236284255981445"
"16","1638.625","1630","1644","2.724941313266754","2.6604082584381104","2.868682861328125"
"17","1734.4545454545455","1728","1743","2.6584748138080943","2.55702543258667","2.7878944873809814"
"18","1832.3333333333333","1824","1840","2.728525267706977","2.5870392322540283","2.8233578205108643"
"19","1928.9166666666667","1921","1938","2.765118877092997","2.6950831413269043","2.9576363563537598"
"20","2025.6923076923076","2018","2034","2.769735281284039","2.6083178520202637","2.879641532897949"
"21","2123.3333333333335","2115","2132","2.71241651640998","2.5704333782196045","2.825112819671631"
"22","2220.909090909091","2212","2229","2.7072781216014516","2.529834747314453","2.8471598625183105"
"23","2318.3","2309","2325","2.7040560722351072","2.644632339477539","2.810112476348877"
"24","2412","2406","2420","2.654278486967087","2.5562684535980225","2.787935256958008"
"25","2509.5","2503","2520","2.713282322883606","2.6146936416625977","2.79693865776062"
"26","2607.1","2600","2616","2.687603259086609","2.6376993656158447","2.788846015930176"
"27","2706.6666666666665","2700","2713","2.680407762527466","2.5935676097869873","2.8039917945861816"
"28","2803","2795","2811","2.693364644050598","2.620485782623291","2.7946455478668213"
"29","2900.4","2893","2908","2.7111271142959597","2.6056718826293945","2.78584623336792"
"30","2998.75","2989","3006","2.722946206728617","2.6623473167419434","2.880478858947754"
"31","3093.75","3087","3102","2.644195467233658","2.5396125316619873","2.7576897144317627"
"32","3191.1428571428573","3183","3200","2.6669956956590926","2.616786241531372","2.7431681156158447"
"33","3288","3281","3297","2.6875142786237927","2.531156063079834","2.824495792388916"
"34","3389.3333333333335","3382","3395","2.766084869702657","2.599013566970825","2.908670663833618"
"35","3484","3475","3492","2.7877000245180996","2.715233564376831","2.9278323650360107"
"36","3579.777777777778","3572","3589","2.735046943028768","2.654930830001831","2.8061745166778564"
"37","3678.285714285714","3670","3685","2.7175015722002303","2.6389050483703613","2.8108012676239014"
"38","3775.9","3767","3784","2.7421052932739256","2.493718385696411","2.8881564140319824"
"39","3872.818181818182","3864","3881","2.726940696889704","2.6809213161468506","2.7958240509033203"
"40","3969.75","3962","3978","2.7424282232920327","2.642970561981201","2.9554383754730225"
"41","4066.5","4058","4075","2.763189458847046","2.626033067703247","2.9349067211151123"
"42","4165.090909090909","4156","4172","2.724227038296786","2.6774818897247314","2.8159451484680176"
"43","4262","4254","4270","2.739653209845225","2.6016862392425537","2.8775815963745117"
"44","4358.375","4351","4365","2.704772800207138","2.555513620376587","2.8682525157928467"
"45","4453.666666666667","4447","4463","2.7069567574395075","2.593245267868042","2.7987964153289795"
"46","4554.384615384615","4545","4562","2.741402809436505","2.6348233222961426","2.9010531902313232"
"47","4650.636363636364","4643","4658","2.7242665724320845","2.6188406944274902","2.806732654571533"
"48","4748.666666666667","4743","4755","2.7339431179894342","2.6421360969543457","2.8488845825195312"
"49","4844.666666666667","4837","4851","2.6920384565989175","2.575038433074951","2.797546625137329"
"50","4942.833333333333","4934","4951","2.7121065258979797","2.6281933784484863","2.844456434249878"
"51","5038.538461538462","5032","5048","2.6915278618152323","2.5598742961883545","2.8051648139953613"
"52","5135.615384615385","5128","5143","2.6740229496589074","2.574364423751831","2.826655149459839"
"53","5231.916666666667","5225","5241","2.736230790615082","2.5946743488311768","2.85093092918396"
"54","5331","5323","5340","2.7145650684833527","2.6564271450042725","2.818880796432495"
"55","5428.3","5420","5437","2.657781744003296","2.5298831462860107","2.777031660079956"
"56","5526","5518","5534","2.686628156238132","2.6370041370391846","2.7614922523498535"
"57","5622.2","5614","5631","2.7239933967590333","2.6192495822906494","2.8501181602478027"
"58","5721.75","5715","5726","2.716901123523712","2.6155059337615967","2.825200080871582"
"59","5817.7692307692305","5809","5825","2.7069491423093357","2.6165995597839355","2.827072858810425"
