"train/global_step","gpt2-medium_fasttune_aux-without_ln - _step","gpt2-medium_fasttune_aux-without_ln - _step__MIN","gpt2-medium_fasttune_aux-without_ln - _step__MAX","gpt2-medium_fasttune_aux-without_ln - eval/loss","gpt2-medium_fasttune_aux-without_ln - eval/loss__MIN","gpt2-medium_fasttune_aux-without_ln - eval/loss__MAX","gpt2-medium_fasttune_aux-without_ln - main_loss","gpt2-medium_fasttune_aux-without_ln - main_loss__MIN","gpt2-medium_fasttune_aux-without_ln - main_loss__MAX"
"0","65.61538461538461","55","76","2.5163","2.5163","2.5163","2.9603878534757175","2.6958467960357666","3.0456831455230713"
"1","142.66666666666666","134","152","","","","2.958833396434784","2.8381083011627197","3.041656255722046"
"2","219.5625","210","232","","","","3.004737675189972","2.8309288024902344","3.105971574783325"
"3","299","288","309","","","","3.1436572808485765","2.958646774291992","3.2599081993103027"
"4","377.46153846153845","366","388","","","","3.173609293424166","3.0255789756774902","3.2657418251037598"
"5","457.53846153846155","445","466","","","","3.219811494533832","3.0841972827911377","3.328122615814209"
"6","531.875","522","543","","","","3.3383177518844604","3.2435996532440186","3.441516637802124"
"7","610.7857142857143","600","619","","","","3.2858418226242065","3.1326262950897217","3.39369797706604"
"8","687.8235294117648","678","699","","","","3.18186897390029","3.077026128768921","3.303682327270508"
"9","767.4666666666667","756","778","","","","3.1998116175333657","3.0684783458709717","3.34073805809021"
"10","844.7333333333333","834","856","","","","3.1191617965698244","3.0543622970581055","3.2328128814697266"
"11","923.1904761904761","912","934","","","","3.0839466594514393","2.8558156490325928","3.251676321029663"
"12","998.3333333333334","991","1006","","","","3.073797172970242","2.9122297763824463","3.194397449493408"
"13","1080.4666666666667","1068","1090","","","","3.041750446955363","2.947730541229248","3.1395316123962402"
"14","1157.6842105263158","1147","1168","","","","3.0266782735523425","2.9028279781341553","3.14467716217041"
"15","1233.4615384615386","1225","1243","","","","3.012336492538452","2.791726589202881","3.1430935859680176"
"16","1312.1176470588234","1302","1324","","","","3.008177532869227","2.793102502822876","3.174428701400757"
"17","1390.6666666666667","1380","1402","","","","2.931229101286994","2.7850193977355957","3.0394699573516846"
"18","1469.6666666666667","1459","1480","","","","2.9680774529774983","2.819329261779785","3.1603634357452393"
"19","1546.1666666666667","1536","1558","","","","3.0201892852783203","2.876692533493042","3.1811888217926025"
"20","1624.4545454545455","1615","1637","","","","2.9865277030251245","2.8658266067504883","3.0832762718200684"
"21","1705.0666666666666","1694","1714","","","","2.9604949792226156","2.7907819747924805","3.0893707275390625"
"22","1782.6666666666667","1772","1794","","","","3.0004173715909324","2.8815019130706787","3.1149182319641113"
"23","1861.3076923076924","1851","1871","","","","2.9329536878145657","2.7061808109283447","3.119574546813965"
"24","1939.2142857142858","1930","1951","","","","2.8978376388549805","2.6978800296783447","3.0158238410949707"
"25","2016.857142857143","2007","2027","","","","2.9405455929892406","2.832274913787842","3.032503604888916"
"26","2097.153846153846","2087","2108","","","","2.955895130450909","2.852907180786133","3.174757242202759"
"27","2176.846153846154","2167","2186","","","","3.239308870755709","3.0819194316864014","3.46757435798645"
"28","2254.375","2243","2265","","","","3.390608996152878","3.077892303466797","3.786386489868164"
"29","2332.4615384615386","2321","2343","","","","3.0718514369084287","2.9673142433166504","3.172922134399414"
"30","2409.625","2401","2422","","","","3.134683057665825","2.9368038177490234","3.2899134159088135"
"31","2486.3333333333335","2478","2499","","","","3.102663596471151","2.8997271060943604","3.240492343902588"
"32","2568.5384615384614","2558","2579","","","","3.0184787053328295","2.903712272644043","3.1488211154937744"
"33","2645.3076923076924","2635","2657","","","","3.1212896016927867","3.033207893371582","3.1881353855133057"
"34","2724.4666666666667","2714","2735","","","","3.1685400009155273","3.040846109390259","3.2935783863067627"
"35","2801.1428571428573","2792","2813","","","","3.0910466568810597","2.902291774749756","3.27067232131958"
"36","2881.714285714286","2871","2892","","","","3.0376628807612827","2.9506490230560303","3.137511968612671"
"37","2961.3846153846152","2950","2971","","","","3.0370341631082387","2.919860363006592","3.1641664505004883"
"38","3038.75","3028","3050","","","","3.025874614715576","2.8807506561279297","3.1550042629241943"
"39","3115.7","3106","3128","","","","2.9753782033920286","2.8706822395324707","3.056096076965332"
"40","3195.5454545454545","3185","3207","","","","3.0175363583998247","2.866447925567627","3.25464129447937"
"41","3274.153846153846","3263","3284","","","","2.996333910868718","2.9148879051208496","3.1417222023010254"
"42","3352.6111111111113","3342","3364","","","","2.992253581682841","2.870194673538208","3.134744882583618"
"43","3430.5","3420","3442","","","","2.924914926290512","2.7205090522766113","3.0819251537323"
"44","3509.9333333333334","3499","3521","","","","2.9507918039957683","2.796583652496338","3.1397926807403564"
"45","3587.3333333333335","3577","3599","","","","2.9610331694285077","2.820556640625","3.216041088104248"
"46","3665.2","3656","3677","","","","2.9334012031555177","2.6403985023498535","3.1372978687286377"
"47","3745.133333333333","3734","3756","","","","2.9711723486582438","2.8640329837799072","3.078888177871704"
"48","3823","3813","3835","","","","2.95182892481486","2.8597254753112793","3.0633368492126465"
"49","3901.75","3893","3913","","","","2.9593905061483383","2.8720929622650146","3.101421356201172"
"50","3981.266666666667","3971","3992","","","","2.906571960449219","2.8159847259521484","3.1294164657592773"
"51","4059","4049","4070","","","","2.933926400016336","2.818171739578247","3.075460433959961"
"52","4140.5","4129","4148","","","","2.9141233444213865","2.7952442169189453","3.0096893310546875"
"53","4216","4205","4227","","","","2.9646561271265934","2.820817470550537","3.087887763977051"
"54","4293.571428571428","4284","4304","","","","2.895858543259757","2.8047451972961426","3.005000114440918"
"55","4372.4375","4362","4384","","","","2.909211188554764","2.7443909645080566","3.0483765602111816"
"56","4453.615384615385","4441","4463","","","","2.9101835764371433","2.830676317214966","3.025888681411743"
"57","4529.375","4520","4541","","","","2.9210402816534042","2.79133939743042","3.07460355758667"
"58","4608.176470588235","4598","4620","","","","2.932871369754567","2.819936752319336","3.0709145069122314"
"59","4688.333333333333","4676","4698","","","","2.922745211919149","2.7960519790649414","3.009089231491089"
"60","4768.7692307692305","4758","4777","","","","2.9281669580019436","2.8512566089630127","3.050983190536499"
"61","4843.9375","4834","4855","","","","2.932976797223091","2.769765615463257","3.230954885482788"
"62","4922.166666666667","4912","4934","","","","2.8837491141425238","2.751556158065796","3.0382003784179688"
"63","5001","4990","5012","","","","2.9442375898361206","2.681260347366333","3.076155662536621"
"64","5078.5","5069","5091","","","","2.9199670404195786","2.775860071182251","3.073822021484375"
"65","5156.090909090909","5147","5168","","","","2.9093033400448887","2.8276891708374023","3.0123162269592285"
"66","5239","5230","5248","","","","2.8931452433268228","2.780263900756836","2.9796605110168457"
"67","5313.642857142857","5304","5326","","","","2.9001258441380093","2.762268543243408","2.961834669113159"
"68","5394.933333333333","5383","5405","","","","2.9212730089823404","2.666358709335327","3.1536905765533447"
"69","5471.733333333334","5462","5483","","","","2.899998505910238","2.769531488418579","2.982789993286133"
"70","5551","5540","5562","","","","2.924220085144043","2.746981382369995","3.062588930130005"
"71","5629.071428571428","5619","5640","","","","2.9339970350265503","2.7447640895843506","3.0712363719940186"
"72","5706.857142857143","5698","5717","","","","2.9266474417277744","2.8182990550994873","3.0123167037963867"
"73","5786.571428571428","5775","5797","","","","2.893103156770979","2.777125358581543","3.020946502685547"
"74","5866.272727272727","5854","5876","","","","2.8970080505717886","2.758753538131714","3.0366010665893555"
"75","5941.1875","5932","5951","","","","2.914393588900566","2.699894666671753","3.035200834274292"
"76","6021.692307692308","6012","6033","","","","2.9311198454636793","2.8504583835601807","3.033639907836914"
"77","6100.1875","6089","6111","","","","2.9085142463445663","2.763671636581421","3.045783519744873"
"78","6179.941176470588","6170","6189","","","","2.9768305385813996","2.790945291519165","3.11409330368042"
"79","6256.642857142857","6248","6265","","","","2.9342325585229054","2.8107566833496094","3.1162586212158203"
"80","6336.857142857143","6325","6346","","","","2.953932387488229","2.791611909866333","3.110280752182007"
"81","6413.076923076923","6403","6424","","","","2.9151870103982778","2.779050588607788","3.0365042686462402"
"82","6491.1","6482","6504","","","","2.9612574100494387","2.7476515769958496","3.1215944290161133"
"83","6571.333333333333","6561","6582","","","","2.934106151262919","2.846681594848633","3.0002596378326416"
"84","6649.461538461538","6639","6661","","","","2.997090761478131","2.830920696258545","3.2507543563842773"
"85","6726.571428571428","6717","6736","","","","2.967018110411508","2.8126542568206787","3.094229221343994"
"86","6808.1875","6797","6818","","","","2.9884094148874283","2.7861814498901367","3.0857694149017334"
"87","6884.555555555556","6874","6895","","","","2.9605531692504883","2.808688163757324","3.1889395713806152"
"88","6962.307692307692","6953","6974","","","","2.934233151949369","2.8239574432373047","3.027867555618286"
"89","7041.916666666667","7031","7052","","","","2.94968189795812","2.8217275142669678","3.1924490928649902"
"90","7120.846153846154","7111","7131","","","","2.9748341670403113","2.887335777282715","3.0909504890441895"
"91","7200.357142857143","7188","7209","","","","2.959896888051714","2.823018789291382","3.0943851470947266"
"92","7277","7267","7289","","","","2.9572955710547313","2.811321496963501","3.0358221530914307"
"93","7357.2307692307695","7348","7367","","","","2.9510366183060865","2.801117420196533","3.1626152992248535"
"94","7433.272727272727","7424","7446","","","","2.8897095160050825","2.7427072525024414","3.1314799785614014"
"95","7513","7502","7523","","","","2.9335270949772427","2.7390103340148926","3.052396059036255"
"96","7592.941176470588","7581","7603","","","","2.9391088205225326","2.823483943939209","3.0468249320983887"
"97","7670.416666666667","7659","7680","","","","2.9359665910402932","2.754523992538452","3.0469603538513184"
"98","7747.333333333333","7738","7757","","","","2.983929991722107","2.8514976501464844","3.107877254486084"
"99","7824.785714285715","7816","7837","","","","2.9338290691375732","2.799713134765625","3.115220069885254"
"100","8381.354166666666","7840","8994","2.858389139175415","2.858389139175415","2.858389139175415","2.8416096219007376","1.541313886642456","4.252636432647705"
"101","9064","9054","9075","","","","2.898584110396249","2.6842525005340576","3.1166558265686035"
"102","9144.076923076924","9133","9154","","","","2.9347623678354116","2.838204860687256","3.098221778869629"
"103","9219.214285714286","9211","9229","","","","2.90125344480787","2.7654263973236084","3.069200277328491"
"104","9302.727272727272","9290","9311","","","","2.906862410632047","2.8184032440185547","2.9567973613739014"
"105","9379.3","9367","9389","","","","2.9204213857650756","2.805082321166992","3.0418920516967773"
"106","9456.5","9446","9468","","","","2.8981873989105225","2.7372477054595947","3.0272064208984375"
"107","9534.666666666666","9524","9545","","","","2.9053837140401204","2.7729852199554443","3.053556442260742"
"108","9614.642857142857","9606","9625","","","","2.9095459495271956","2.7571163177490234","3.0470564365386963"
"109","9692.642857142857","9682","9703","","","","2.9128944192613875","2.749682903289795","2.9996337890625"
"110","9771.083333333334","9760","9782","","","","2.89840300877889","2.7793569564819336","3.0304157733917236"
"111","9849.411764705883","9839","9859","","","","2.9177168257096233","2.7939388751983643","3.052023410797119"
"112","9926.5","9917","9937","","","","2.9633880138397215","2.900531530380249","3.1207103729248047"
"113","10006.90909090909","9995","10017","","","","2.911138252778487","2.755192279815674","3.0173213481903076"
"114","10084.846153846154","10076","10094","","","","2.891266492696909","2.8106930255889893","2.979933261871338"
"115","10163","10153","10174","","","","2.9050925572713218","2.6972687244415283","3.0492472648620605"
"116","10240.642857142857","10231","10252","","","","2.913717951093401","2.755502700805664","2.9816253185272217"
"117","10320.411764705883","10309","10331","","","","2.8792368804707245","2.7679789066314697","3.0105724334716797"
"118","10397.3125","10387","10409","","","","2.9137677252292633","2.808640718460083","3.035015344619751"
"119","10478.25","10467","10488","","","","2.921118065714836","2.7297563552856445","3.033034324645996"
"120","10555","10544","10566","","","","2.8605766892433167","2.757373332977295","3.0229833126068115"
"121","10632.235294117647","10622","10644","","","","2.8533137545866123","2.654181957244873","2.9997036457061768"
"122","10712.57142857143","10701","10723","","","","2.871055143220084","2.679898262023926","2.971374750137329"
"123","10788","10779","10800","","","","2.850046025382148","2.7260994911193848","3.00248646736145"
"124","10868.5","10857","10878","","","","2.854638397693634","2.7290687561035156","2.9744160175323486"
"125","10946.083333333334","10936","10957","","","","2.9080127080281577","2.7790377140045166","3.048642158508301"
"126","11025","11015","11036","","","","2.906922362067483","2.726776123046875","2.985494375228882"
"127","11104.23076923077","11094","11113","","","","2.9162118985102725","2.761277675628662","3.0062689781188965"
"128","11183.214285714286","11171","11193","","","","2.8689294712884084","2.7376198768615723","2.9878408908843994"
"129","11259.5","11249","11271","","","","2.914730668067932","2.8136816024780273","3.034700870513916"
"130","11338.538461538461","11328","11349","","","","2.87428879737854","2.7673757076263428","3.018822431564331"
"131","11417.42857142857","11407","11428","","","","2.919767584119524","2.7790048122406006","3.069525718688965"
"132","11494.846153846154","11484","11505","","","","2.8443651566138635","2.6551754474639893","2.9656522274017334"
"133","11575.461538461539","11565","11583","","","","2.8735120113079367","2.694220781326294","3.013113498687744"
"134","11651.733333333334","11641","11663","","","","2.876008733113607","2.774722099304199","2.99017071723938"
"135","11731","11720","11741","","","","2.879224189122518","2.7747597694396973","3.0306406021118164"
"136","11808.3125","11797","11819","","","","2.881813421845436","2.7639098167419434","2.975783586502075"
"137","11887.2","11876","11897","","","","2.858580700556437","2.721526622772217","2.9777872562408447"
"138","11965.272727272728","11954","11976","","","","2.886594533920288","2.77847957611084","3.025402784347534"
"139","12043.7","12033","12054","","","","2.9148383855819704","2.8167364597320557","3.1053833961486816"
"140","12122.1875","12112","12133","","","","2.9280060678720474","2.8451709747314453","3.1138291358947754"
"141","12201.076923076924","12191","12211","","","","2.901177222912128","2.7380752563476562","3.0405900478363037"
"142","12277.857142857143","12267","12289","","","","2.9182422842298235","2.8493213653564453","3.028650999069214"
"143","12357","12346","12368","","","","2.8696911931037903","2.747591972351074","3.0955493450164795"
"144","12435.375","12424","12446","","","","2.876265302300453","2.732056140899658","2.987454652786255"
"145","12512.5","12502","12524","","","","2.8768185036523","2.7397336959838867","3.025193452835083"
"146","12591.714285714286","12581","12603","","","","2.8573074340820312","2.7500810623168945","2.932851791381836"
"147","12667.916666666666","12659","12678","","","","2.9167231718699136","2.7955496311187744","2.9911930561065674"
"148","12745.333333333334","12737","12756","","","","2.864211678504944","2.6633315086364746","2.9519448280334473"
"149","12825.636363636364","12816","12834","","","","2.871618552641435","2.7194137573242188","2.966798782348633"
