"train/global_step","gpt2-xl_aux-without_ln - _step","gpt2-xl_aux-without_ln - _step__MIN","gpt2-xl_aux-without_ln - _step__MAX","gpt2-xl_aux-without_ln - main_loss","gpt2-xl_aux-without_ln - main_loss__MIN","gpt2-xl_aux-without_ln - main_loss__MAX"
"0","120.5","113","127","2.5990220308303833","2.4740724563598633","2.676452159881592"
"1","250.8","242","257","2.6004088878631593","2.4729111194610596","2.6986796855926514"
"2","373.5","364","387","2.6580159664154053","2.5109450817108154","2.746872901916504"
"3","507.6666666666667","496","522","2.616346147325304","2.497969627380371","2.7278876304626465"
"4","644.1666666666666","634","652","2.564717729886373","2.453277826309204","2.6542842388153076"
"5","769.6666666666666","764","779","2.6235909461975098","2.5193793773651123","2.6920430660247803"
"6","899","888","906","2.630827705065409","2.509491205215454","2.779202938079834"
"7","1032.8","1026","1042","2.6385894298553465","2.586195230484009","2.7627320289611816"
"8","1165.888888888889","1155","1177","2.6745376586914062","2.5391409397125244","2.7653467655181885"
"9","1291.8181818181818","1281","1303","2.6687121391296387","2.520819902420044","2.7608084678649902"
"10","1417.75","1415","1421","2.6833876967430115","2.58634614944458","2.806450128555298"
"11","1559.6666666666667","1543","1570","2.6365115377638073","2.5281100273132324","2.7051141262054443"
"12","1688.7142857142858","1674","1699","2.543726682662964","2.2832295894622803","2.699336051940918"
"13","1817","1805","1829","2.6896983683109283","2.619266986846924","2.8123748302459717"
"14","1948.375","1940","1961","2.6129312813282013","2.444063663482666","2.723695755004883"
"15","2082","2068","2091","2.631757458051046","2.5754435062408447","2.741499900817871"
"16","2212.25","2209","2215","2.685759484767914","2.606809616088867","2.7400190830230713"
"17","2340.1428571428573","2329","2352","2.575343813214983","2.444394588470459","2.765195846557617"
"18","2468.75","2460","2486","2.5625993609428406","2.462351083755493","2.7037672996520996"
"19","2606.5","2592","2618","2.71452534198761","2.6002583503723145","2.8307154178619385"
"20","2738.1666666666665","2723","2749","2.738112290700277","2.607250452041626","2.9540622234344482"
"21","2863.3333333333335","2856","2868","2.626125375429789","2.4191887378692627","2.7620909214019775"
"22","2997.285714285714","2988","3011","2.615746702466692","2.490811824798584","2.7725141048431396"
"23","3129.5555555555557","3118","3139","2.623286247253418","2.499988317489624","2.743656873703003"
"24","3258.8","3249","3267","2.5336856842041016","2.409027099609375","2.589242935180664"
"25","3396","3385","3404","2.6065509915351868","2.5515735149383545","2.7088518142700195"
"26","3524.5","3514","3530","2.6649181842803955","2.631883382797241","2.73583984375"
"27","3655.6666666666665","3647","3664","2.5931593577067056","2.456141233444214","2.6928224563598633"
"28","3784.285714285714","3770","3794","2.601818084716797","2.4390690326690674","2.8409132957458496"
"29","3913","3901","3926","2.5568509499231973","2.346163034439087","2.697563886642456"
"30","4048.6","4038","4058","2.6195440769195555","2.557727336883545","2.7339489459991455"
"31","4174.8","4163","4187","2.58451247215271","2.32257080078125","2.736320972442627"
"32","4309.4","4294","4321","2.563043212890625","2.470958709716797","2.709956169128418"
"33","4436","4429","4443","2.6344844341278075","2.533679485321045","2.7639918327331543"
"34","4569.9","4557","4583","2.544737935066223","2.329455852508545","2.646359443664551"
"35","4698.428571428572","4688","4711","2.5650269985198975","2.4336130619049072","2.677501678466797"
"36","4836.833333333333","4824","4845","2.589672605196635","2.5345845222473145","2.613194704055786"
"37","4960","4951","4967","2.5595492124557495","2.5262651443481445","2.598708152770996"
"38","5089.333333333333","5083","5097","2.566824038823446","2.452878475189209","2.716021776199341"
"39","5220.6","5211","5228","2.5394601821899414","2.4507086277008057","2.66705322265625"
"40","5354.111111111111","5342","5369","2.56556593047248","2.486943006515503","2.612849712371826"
"41","5488","5474","5500","2.569258117675781","2.4317002296447754","2.7144625186920166"
"42","5615.714285714285","5606","5626","2.612296002251761","2.527724027633667","2.735283136367798"
"43","5751.571428571428","5739","5762","2.5558415821620395","2.4426958560943604","2.661982297897339"
"44","5876.8","5868","5889","2.5658629894256593","2.333354949951172","2.7536821365356445"
"45","6009.454545454545","5998","6021","2.5099872892553154","2.366640329360962","2.6345512866973877"
"46","6146.8","6129","6155","2.560995674133301","2.4753191471099854","2.670196533203125"
