metric,model,mean,ci_lower,ci_upper
CE Loss,Small original,2.9641984429061807,2.9557408812760526,2.9720717035749935
CE Loss,Small FT,2.9836349268244677,2.975108300270933,2.991540970321066
CE Loss,Small LN-free,3.049144688644647,3.040512396125499,3.0573430856646895
Entropy,Small original,3.053046978758494,3.047338917007674,3.0587682361245463
Entropy,Small FT,2.800587307581371,2.794925295377972,2.806262776966822
Entropy,Small LN-free,2.7940226432145985,2.7883137590700944,2.7996644745205668
JSD,Small original vs Small FT,0.020230668394236265,0.020096786489888177,0.020351928141022158
JSD,Small original vs Small LN-free,0.03934332525115214,0.03916308003539397,0.03951146838640923
JSD,Small FT vs Small LN-free,0.025443268781350073,0.02534134667317875,0.025556511503650698
ECE,Small original,0.019289099817611663,0.018220092003643423,0.020328962404635702
ECE,Small FT,0.026285939469492457,0.02524665842199881,0.027254535842237977
ECE,Small LN-free,0.03544027682408278,0.03439212228878133,0.03643189974031134
